index,Gender,Age,HeadCircumference,ShoulderWidth,ChestWidth ,Belly ,Waist ,Hips ,ArmLength ,ShoulderToWaist ,WaistToKnee ,LegLength,TotalHeight,kmeans_cluster,hac_cluster
628,2.0,7,21,11,12,22,13,11,16,14,14,25,44,6,2
629,2.0,8,23,13,10,23,11,13,17,14,16,27,49,6,2
630,2.0,10,22,12,13,24,12,15,17,14,16,26,51,6,2
631,2.0,10,22,11,12,22,11,14,16,15,14,23,48,6,2
632,2.0,10,22,12,13,23,11,14,16,18,14,24,47,6,2
633,2.0,11,22,14,13,24,12,14,19,18,14,25,52,6,2
634,2.0,11,20,11,13,24,12,12,17,15,14,27,49,6,2
635,2.0,13,22,12,12,24,12,14,19,15,16,30,55,6,2
636,2.0,11,21,13,13,24,10,14,18,16,11,27,52,6,2
637,2.0,12,22,13,14,26,12,17,20,18,14,29,53,6,2
638,2.0,11,22,12,12,21,10,12,18,17,13,26,49,6,2
639,1.0,13,20,15,13,23,13,16,17,16,14,28,49,6,2
640,1.0,12,21,13,13,23,12,14,17,14,15,27,52,6,2
641,1.0,10,21,14,12,23,12,12,18,15,15,25,49,6,2
642,1.0,13,21,14,14,23,14,13,20,17,17,31,54,6,2
643,1.0,12,21,15,12,23,12,13,20,19,14,30,52,6,2
644,1.0,11,20,12,12,23,10,11,19,15,15,26,48,6,2
645,1.0,9,22,14,12,24,13,12,18,15,16,27,48,6,2
646,1.0,10,21,14,11,24,10,17,18,17,13,26,54,6,2
647,1.0,7,20,10,9,22,9,13,13,12,13,23,44,6,2
648,2.0,8,21,11,11,21,10,13,15,13,11,24,45,6,2
649,2.0,10,21,10,13,24,10,17,18,11,14,29,50,6,2
650,1.0,13,21,15,11,22,10,16,19,13,15,30,55,6,2
651,1.0,12,21,13,12,24,11,15,17,14,15,30,57,6,2
652,2.0,10,21,13,11,21,11,14,15,12,11,28,52,6,2
653,2.0,7,21,11,9,20,9,10,13,10,9,24,44,6,2
654,1.0,5,20,10,9,20,8,10,13,11,9,20,39,0,2
655,1.0,5,20,10,9,20,8,10,13,11,10,20,39,0,2
656,2.0,4,19,11,9,20,8,13,11,10,10,19,37,0,2
657,2.0,8,21,13,13,23,13,13,10,12,13,25,45,6,2
658,2.0,8,20,14,12,22,11,10,10,12,14,23,43,6,2
659,2.0,10,21,13,13,23,12,11,20,13,15,24,44,6,2
660,2.0,8,20,12,11,22,11,10,18,12,14,23,43,6,2
661,2.0,8,21,13,11,22,11,11,16,12,14,23,43,6,2
662,2.0,7,20,11,11,20,10,10,14,10,11,21,40,6,2
663,2.0,7,20,13,11,23,11,11,16,12,14,23,45,6,2
664,2.0,9,20,14,13,24,12,12,17,14,13,23,45,6,2
665,2.0,11,21,11,13,21,10,10,17,12,15,25,49,6,2
666,2.0,10,20,13,12,21,12,12,16,13,13,24,46,6,2
667,2.0,11,22,11,14,23,12,12,18,17,12,26,49,6,2
668,2.0,13,21,12,13,24,12,11,18,16,16,27,50,6,2
669,1.0,12,20,11,12,23,11,12,18,15,14,25,50,6,2
670,1.0,12,19,13,12,23,12,12,18,15,16,26,51,6,2
671,1.0,12,21,14,13,22,12,12,17,16,14,27,50,6,2
672,1.0,12,19,10,14,23,12,12,18,17,13,25,51,6,2
673,1.0,11,20,11,12,23,11,11,17,15,13,29,47,6,2
674,1.0,14,20,11,13,24,10,11,18,16,12,20,49,6,2
675,1.0,8,19,11,11,22,9,11,15,13,16,17,44,6,2
676,1.0,5,20,10,11,22,8,8,13,18,13,19,36,6,2
677,2.0,7,21,10,8,20,11,10,14,10,10,23,40,6,2
678,2.0,7,21,14,12,21,13,12,15,11,11,27,43,6,2
679,2.0,7,21,14,12,23,13,12,17,15,14,26,48,6,2
680,1.0,11,20,12,13,23,13,11,19,17,16,25,50,6,2
681,1.0,7,21,11,12,23,11,12,18,14,17,21,47,6,2
682,2.0,6,20,11,12,20,12,11,15,12,15,20,40,6,2
683,1.0,7,19,10,13,21,12,12,16,13,14,25,38,6,2
684,1.0,8,22,10,11,20,20,12,17,14,12,21,47,6,2
685,1.0,5,19,10,10,21,12,9,13,13,11,21,39,0,2
686,1.0,8,20,12,11,23,13,13,17,15,13,21,41,6,2
687,2.0,6,20,13,11,21,22,24,15,14,12,24,44,4,2
688,2.0,4,20,11,11,22,22,22,16,12,12,22,39,6,2
689,1.0,12,20,13,12,23,26,27,19,16,20,25,49,4,1
690,1.0,15,20,17,15,23,17,24,24,20,19,23,57,5,1
691,1.0,13,20,12,15,22,24,25,17,17,20,32,50,4,1
692,1.0,12,21,14,12,26,11,14,20,17,14,29,50,6,2
693,1.0,11,20,13,11,22,12,14,18,19,13,25,49,6,2
694,1.0,13,19,16,14,22,13,28,18,21,12,34,52,4,1
695,2.0,7,20,12,11,23,23,23,20,17,15,24,43,4,1
696,2.0,5,20,11,10,21,21,23,19,13,13,21,39,6,2
697,2.0,7,20,11,9,19,21,21,19,13,13,21,39,6,2
698,1.0,5,21,12,9,10,21,21,19,13,13,23,41,6,2
699,2.0,7,21,11,11,20,22,21,19,12,12,21,31,6,2
700,2.0,6,20,11,10,21,21,20,20,15,13,22,32,6,2
701,2.0,7,20,11,10,20,21,20,18,17,15,15,31,6,2
702,2.0,5,21,12,12,21,21,26,21,13,20,20,40,4,1
703,2.0,5,20,11,11,21,21,23,20,12,20,21,34,6,1
704,2.0,6,21,13,11,20,22,24,17,12,21,22,39,4,1
705,1.0,17,21,11,14,26,25,18,21,19,19,34,59,4,1
706,2.0,5,21,15,11,22,23,23,17,15,13,22,43,4,2
707,1.0,13,21,8,12,22,14,29,27,22,16,25,23,4,1
708,2.0,2,18,15,8,20,19,20,14,13,11,18,32,0,2
709,1.0,10,20,12,12,22,14,29,27,22,16,25,23,4,1
710,2.0,10,21,12,12,22,24,26,21,15,14,25,45,4,1
711,2.0,13,22,6,14,25,18,30,21,20,16,33,59,4,1
712,1.0,10,21,11,12,22,2,26,21,15,14,25,45,6,2
713,1.0,4,20,17,11,22,22,22,17,12,12,22,40,6,2
714,1.0,13,20,15,14,25,18,30,21,20,16,33,59,4,1
715,2.0,4,20,15,10,20,20,21,18,10,12,19,37,6,2
