,Age,Waist,TotalHeight
count,6011.0,6011.0,6011.0
mean,52.135252037930464,100.44323739810349,167.0737314922642
std,18.18703456600385,17.15850386858826,10.025688653594163
min,18.0,59.6,133.0
25%,37.0,88.1,159.7
50%,56.0,99.0,166.7
75%,67.0,111.0,174.3
max,80.0,187.0,200.7
