Gender,Age,Waist,TotalHeight,source
2.0,42.0,40.0,40.0,Mendeley
1.0,20.0,14.0,55.0,Mendeley
1.0,31.0,21.0,52.0,Mendeley
1.0,19.0,9.0,32.0,Mendeley
2.0,24.0,10.0,35.0,Mendeley
2.0,27.0,11.0,56.0,Mendeley
2.0,29.0,12.0,50.0,Mendeley
2.0,30.0,16.0,45.0,Mendeley
1.0,31.0,23.0,45.0,Mendeley
2.0,28.0,24.0,51.0,Mendeley
1.0,23.0,19.0,48.0,Mendeley
2.0,29.0,21.0,43.0,Mendeley
1.0,35.0,18.0,52.0,Mendeley
1.0,18.0,20.0,39.0,Mendeley
1.0,20.0,21.0,45.0,Mendeley
1.0,35.0,18.0,48.0,Mendeley
1.0,32.0,20.0,31.0,Mendeley
1.0,31.0,21.0,60.0,Mendeley
2.0,20.0,18.0,50.0,Mendeley
2.0,19.0,18.0,49.0,Mendeley
1.0,18.0,19.0,33.0,Mendeley
2.0,24.0,29.0,39.0,Mendeley
2.0,22.0,22.0,47.0,Mendeley
1.0,21.0,14.0,53.0,Mendeley
2.0,26.0,17.0,41.0,Mendeley
1.0,18.0,16.0,52.0,Mendeley
1.0,27.0,19.0,48.0,Mendeley
1.0,29.0,20.0,51.0,Mendeley
1.0,30.0,19.0,40.0,Mendeley
1.0,20.0,20.0,55.0,Mendeley
1.0,5.0,13.0,30.0,Mendeley
2.0,25.0,20.0,50.0,Mendeley
2.0,3.0,8.0,20.0,Mendeley
2.0,7.0,14.0,30.0,Mendeley
1.0,50.0,27.0,50.0,Mendeley
1.0,16.0,15.0,52.0,Mendeley
1.0,5.0,6.0,31.0,Mendeley
1.0,20.0,20.0,52.0,Mendeley
1.0,4.0,8.0,21.0,Mendeley
1.0,23.0,20.0,51.0,Mendeley
1.0,17.0,7.0,52.0,Mendeley
1.0,13.0,10.0,40.0,Mendeley
2.0,18.0,9.0,46.0,Mendeley
2.0,2.0,11.0,21.0,Mendeley
2.0,3.0,9.0,30.0,Mendeley
2.0,7.0,7.0,36.0,Mendeley
2.0,14.0,9.0,43.0,Mendeley
1.0,20.0,10.0,46.0,Mendeley
1.0,31.0,11.0,46.0,Mendeley
1.0,12.0,11.0,56.0,Mendeley
1.0,6.0,10.0,41.0,Mendeley
1.0,3.0,6.0,35.0,Mendeley
1.0,27.0,10.0,40.0,Mendeley
1.0,26.0,11.0,52.0,Mendeley
1.0,36.0,7.0,42.0,Mendeley
1.0,31.0,6.0,70.0,Mendeley
1.0,25.0,10.0,56.0,Mendeley
1.0,4.0,14.0,32.0,Mendeley
1.0,27.0,21.0,57.0,Mendeley
1.0,2.0,9.0,23.0,Mendeley
1.0,9.0,15.0,35.0,Mendeley
1.0,60.0,30.0,55.0,Mendeley
2.0,18.0,16.0,57.0,Mendeley
2.0,4.0,9.0,32.0,Mendeley
1.0,22.0,21.0,55.0,Mendeley
2.0,2.0,9.0,23.0,Mendeley
1.0,24.0,21.0,53.0,Mendeley
1.0,19.0,9.0,56.0,Mendeley
1.0,15.0,11.0,50.0,Mendeley
2.0,19.0,10.0,48.0,Mendeley
2.0,3.0,10.0,23.0,Mendeley
